what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720805523218
executed,command,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.applyPatch",1720805523235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720805533049
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1720805551824
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1720805551843
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1720805551982
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1720805551998
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1720805563567
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1720805563764
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1720805564024
started,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1720805564180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720805645555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720805653836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720805677874
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720805685066
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1720805686487
